Symbol,Code
4850,E05747
1429,E30126
1663,E30048
1844,E00239
1909,E25282
1961,E00107
1997,E00246
2008,E00352
2148,E05686
2181,E21261
2282,E00334
2321,E05297
2342,E05317
2349,E05322
2372,E05352
2374,E05354
2389,E05374
2393,E05381
2398,E05393
2491,E05149
2501,E00393
2593,E00414
2652,E03347
2764,E03406
2777,E02961
2784,E02962
2810,E00462
2929,E02484
3064,E03497
3140,E21259
3147,E22130
3193,E30699
3245,E04072
3261,E27046
3266,E22612
3377,E02988
3416,E31749
3440,E02493
3454,E05607
3458,E31441
3541,E32351
3565,E33109
3648,E25263
3652,E25620
3669,E27064
3674,E27394
3685,E30461
3719,E05348
3726,E05395
3741,E05400
3803,E05573
3845,E05682
3850,E05694
3878,E00650
3932,E32200
3947,E00668
3962,E32620
3994,E33390
3999,E33598
4098,E00796
4165,E34973
4177,E36343
4185,E01003
4186,E00854
4229,E00448
4286,E05199
4307,E05062
4320,E05233
4337,E03379
4362,E00852
4366,E01014
4381,E33825
4436,E34754
4462,E00804
4492,E35504
4493,E35354
4629,E00917
4669,E04984
4671,E04982
4674,E04988
4676,E04462
4678,E04991
4679,E04990
4681,E03969
4684,E05025
4685,E04995
4686,E04996
4687,E04997
4689,E05000
4690,E05001
4691,E35136
4694,E05056
4695,E05004
4699,E05006
4704,E04999
4705,E05011
4707,E05015
4708,E05014
4709,E05017
4714,E05024
4716,E05027
4718,E05028
4719,E05029
4720,E05030
4722,E05033
4725,E05036
4726,E05037
4728,E05042
4732,E05045
4733,E05048
4734,E05052
4735,E05053
4736,E05054
4739,E05059
4743,E02909
4744,E05064
4745,E05067
4746,E05066
4748,E05069
4750,E05070
4751,E05072
4752,E05075
4754,E05073
4755,E05080
4760,E05083
4761,E05090
4762,E05091
4763,E05096
4765,E05097
4766,E05098
4767,E05100
4768,E05099
4769,E05101
4770,E05106
4771,E05107
4772,E05088
4775,E05093
4777,E05114
4779,E05115
4781,E05121
4783,E05120
4784,E05123
4792,E05135
4793,E05134
4798,E05141
4799,E05142
4800,E05143
4801,E05145
4809,E05414
4813,E05168
4814,E05151
4816,E02458
4824,E05161
4825,E05162
4826,E05163
4828,E05167
4829,E05169
4832,E05173
4833,E05175
4837,E05265
4838,E04478
4839,E04427
4840,E05183
4842,E04479
4845,E05187
4847,E05191
4848,E05182
4849,E05192
4850,E05747
4875,E05958
4880,E35169
4881,E32989
4882,E35510
4883,E35518
4884,E36129
4885,E36350
4886,E35791
4887,E36190
4888,E35496
4889,E36825
4890,E36956
4891,E37069
4892,E38156
4902,E00989
4912,E00991
4914,E00993
4917,E01027
4918,E01035
4919,E01039
4920,E01040
4921,E01046
4923,E01059
4924,E01062
4925,E01063
4926,E23479
4927,E24951
4928,E24991
4929,E27016
4930,E31959
4931,E34965
4932,E35568
4933,E35928
4934,E36046
4935,E36133
4936,E36321
4937,E36697
4951,E01019
4952,E21969
4955,E00860
4956,E02686
4957,E01033
4958,E01034
4960,E00868
4962,E00889
4965,E01043
4966,E01045
4968,E01048
4970,E01051
4972,E01055
4973,E01060
4974,E02474
4975,E01065
4976,E01068
4977,E26061
4978,E27585
4979,E30697
4980,E31633
4985,E01015
4987,E01011
4989,E01012
4990,E01172
4992,E01001
4994,E01058
4996,E00828
4997,E00937
4998,E01007
4999,E01010
5002,E01070
5007,E01072
5008,E01073
5009,E01076
5010,E01005
5011,E01077
5012,E02543
5013,E01080
5015,E02800
5017,E01082
5018,E01083
5019,E01084
5020,E24050
5021,E31632
5025,E37397
5026,E37458
5028,E37506
5029,E37603
5031,E37333
5032,E37573
5033,E37435
5034,E37815
5035,E37790
5036,E37833
5038,E37902
5071,E34454
5074,E36412
5076,E36723
5078,E37456
5079,E37468
5101,E01085
5103,E01088
5104,E01089
5105,E01090
5110,E01110
5121,E01094
5122,E01100
5126,E37926
5127,E37939
5128,E37795
5129,E37959
5132,E38008
5133,E37914
5134,E38036
5136,E38072
5138,E38171
5139,E38180
5142,E01096
5161,E01112
5162,E01115
5184,E01114
5186,E01111
5187,E02416
5189,E01107
5191,E01097
5192,E01098
5194,E01095
5196,E01104
5199,E01109
5201,E01122
5202,E01121
5204,E01123
5208,E01152
5210,E01126
5212,E01186
5216,E01205
5217,E01217
5218,E01170
5232,E01127
5233,E01130
5234,E01128
5237,E01166
5240,E38157
5242,E38163
5243,E38043
5244,E38201
5246,E38169
5247,E38191
5248,E38256
5252,E38474
5253,E38478
5258,E38491
5259,E38288
5261,E01156
5262,E01157
5268,E01143
5269,E01142
5271,E01165
5273,E01169
5277,E01174
5279,E01200
5280,E01202
5282,E01206
5283,E01208
5284,E01211
5285,E01212
5287,E01216
5288,E01222
5289,E25160
5290,E34137
5301,E01162
5302,E01140
5304,E01173
5331,E01139
5332,E01138
5333,E01137
5337,E01141
5341,E01176
5344,E01210
5351,E01146
5352,E01150
5355,E01131
5357,E01147
5358,E01145
5363,E01149
5367,E01188
5368,E35497
5381,E01218
5384,E01207
5386,E01204
5387,E01197
5388,E01195
5389,E01194
5391,E01163
5393,E01151
5395,E01185
5398,E01168
5406,E01231
5408,E01229
5410,E01235
5412,E05807
5413,E26712
5423,E01261
5440,E01266
5444,E01259
5445,E01292
5446,E01260
5448,E01263
5449,E01262
5451,E01247
5453,E01249
5456,E01265
5458,E01275
5461,E01251
5463,E01253
5464,E01315
5471,E01239
5476,E01240
5480,E01242
5481,E01243
5484,E01245
5486,E01244
5491,E01276
5527,E38129
5541,E01254
5542,E01257
5563,E01256
5566,E01258
5571,E34326
5602,E01268
5603,E01269
5609,E01236
5610,E01238
5612,E01283
5614,E21200
5631,E01232
5632,E01233
5644,E02185
5657,E01286
5658,E01287
5659,E01280
5660,E01282
5690,E35543
5695,E01294
5697,E01296
5698,E27868
5699,E34130
5702,E01318
5703,E26707
5704,E32770
5706,E00024
5707,E01308
5711,E00021
5714,E00028
5715,E00032
5721,E01300
5724,E21649
5726,E01327
5727,E01301
5729,E00026
5741,E01330
5742,E01331
5753,E01305
5757,E01321
5758,E02115
5759,E36698
5781,E01401
5801,E01332
5802,E01333
5803,E01334
5805,E01336
5807,E01337
5809,E01338
5815,E01343
5817,E01348
5819,E01350
5820,E01351
5821,E01352
5838,E03621
5852,E01303
5856,E01329
5857,E21187
5900,E01325
5901,E01353
5902,E01354
5903,E02448
5905,E01408
5906,E02409
5907,E01436
5909,E01444
5911,E01355
5912,E01358
5915,E01362
5918,E01364
5921,E01381
5922,E01365
5923,E01373
5928,E01320
5929,E01385
5930,E01413
5932,E26831
5933,E01430
5935,E01433
5936,E01415
5938,E01317
5939,E01425
5940,E01422
5941,E01445
5942,E01370
5943,E02379
5945,E01426
5946,E01659
5947,E01417
5949,E02194
5950,E01421
5951,E01427
5952,E01368
5955,E01369
5956,E02442
5957,E02296
5958,E01409
5959,E01412
5962,E01391
5964,E01376
5966,E01420
5967,E01380
5969,E01403
5970,E02228
5971,E01442
5973,E01441
5974,E01366
5975,E01382
5976,E01400
5981,E01378
5982,E02438
5983,E01439
5984,E01437
5985,E01402
5986,E01411
5987,E01446
5988,E01438
5989,E02222
5990,E01435
5991,E01367
5992,E01405
5994,E01396
5997,E01431
5998,E01393
5999,E01395
6005,E01478
6013,E01469
6016,E01474
6018,E01471
6022,E01475
6023,E01477
6026,E31055
6027,E31009
6028,E31030
6029,E30998
6031,E31089
6032,E31103
6033,E31079
6035,E31054
6036,E31216
6037,E31248
6038,E31343
6039,E31381
6040,E31408
6042,E02171
6044,E31379
6045,E31446
6046,E31448
6047,E31454
6048,E31425
6049,E31424
6050,E24917
6051,E25271
6052,E25786
6053,E25677
6054,E26032
6058,E26428
6059,E26454
6060,E26443
6061,E26446
6062,E26444
6063,E26625
6064,E26631
6065,E26716
6067,E26836
6068,E26708
6069,E26933
6070,E26839
6071,E27066
6072,E27059
6073,E27303
6074,E27506
6075,E27567
6077,E27723
6078,E22470
6079,E27900
6080,E30022
6081,E30053
6082,E30065
6083,E27855
6084,E27311
6085,E30119
6086,E30120
6087,E27043
6088,E30130
6090,E30071
6091,E30042
6092,E30445
6094,E30648
6095,E30650
6096,E30682
6097,E30738
6098,E07801
6103,E01481
6104,E01482
6112,E01484
6118,E01545
6121,E01490
6125,E01493
6131,E01492
6134,E01495
6135,E01496
6136,E01377
6137,E00794
6138,E01488
6140,E01499
6141,E01502
6144,E01930
6145,E01981
6146,E01506
6147,E01507
6149,E01692
6150,E01508
6151,E01509
6155,E01510
6156,E02343
6157,E01729
6158,E01511
6159,E02478
6161,E01730
6163,E01513
6166,E31542
6167,E31594
6171,E31723
6172,E31732
6173,E31694
6175,E31745
6176,E31776
6177,E31817
6178,E31748
6180,E31854
6181,E31855
6182,E31901
6183,E31896
6184,E31871
6185,E31958
6186,E31997
6187,E32144
6189,E32156
6190,E32153
6191,E32194
6193,E32203
6194,E32400
6196,E32380
6197,E04878
6198,E32193
6199,E32397
6200,E32495
6201,E01514
6205,E01516
6208,E01518
6210,E01528
6217,E01524
6218,E01521
6222,E01531
6226,E37499
6227,E36750
6229,E36098
6230,E35587
