Symbol,Crawl_Price,Price,Date_Start,Date_End
CVN,1,1,04/01/2000,23/08/2023
CVR,1,1,17/06/2022,23/08/2023
CVV,1,1,03/11/2006,23/08/2023
CVW,1,1,11/12/2003,23/08/2023
CWP,1,1,12/01/2000,23/08/2023
CWX,1,1,14/12/2017,18/08/2023
CWY,1,1,03/05/2005,23/08/2023
CXL,1,1,08/07/2004,23/08/2023
CXM,1,1,19/07/2006,23/08/2023
CXO,1,1,11/02/2011,23/08/2023
CXU,1,1,28/01/2005,23/08/2023
CXX,0,0,,
CXZ,1,1,31/05/2010,23/08/2023
CY5,1,1,15/01/2018,23/08/2023
CYC,1,1,18/01/2007,23/08/2023
CYG,1,1,04/01/2000,23/08/2023
CYL,1,1,26/07/2006,23/08/2023
CYM,1,1,10/01/2000,20/02/2023
CYP,1,1,20/12/2007,23/08/2023
CYQ,1,1,21/11/2007,23/08/2023
CZN,1,1,30/06/2005,22/08/2023
CZR,1,1,29/08/2006,23/08/2023
D2O,1,1,16/09/2016,23/08/2023
DAF,1,1,22/09/2011,23/08/2023
DAL,1,1,28/09/2021,23/08/2023
DBF,1,1,08/02/2018,23/08/2023
DBI,1,1,08/12/2020,23/08/2023
DBO,1,1,12/10/2021,23/08/2023
DC2,1,1,10/11/2020,23/08/2023
DCC,1,1,28/06/2002,23/08/2023
DCG,1,1,22/04/2005,23/08/2023
DCL,1,1,23/12/2022,23/08/2023
DCN,1,1,14/11/2012,23/08/2023
DCX,1,1,13/12/2007,23/08/2023
DDB,1,1,06/08/2020,23/08/2023
DDH,1,1,09/03/2021,23/08/2023
DDR,1,1,24/01/2011,23/08/2023
DDT,1,1,12/01/2005,18/08/2023
DEG,1,1,03/07/2002,23/08/2023
DEL,1,1,12/04/2021,23/08/2023
DEM,1,1,07/04/2017,22/08/2023
DES,1,1,16/12/2022,22/08/2023
DEV,1,1,03/10/2000,23/08/2023
DGH,1,1,11/01/2000,21/08/2023
DGL,1,1,24/05/2021,23/08/2023
DGR,1,1,21/08/2003,23/08/2023
DHG,1,1,16/11/2017,23/08/2023
DJW,1,1,04/01/2000,23/08/2023
DKM,1,1,04/08/2014,23/08/2023
DLI,1,1,03/11/2017,23/08/2023
DLM,1,1,01/11/2021,23/08/2023
DM1,1,1,05/01/2000,23/08/2023
DMC,1,1,04/01/2000,06/07/2015
DME,1,1,24/10/2013,23/08/2023
DMG,1,1,05/08/2022,23/08/2023
DMM,1,1,29/12/2021,23/08/2023
DMP,1,1,16/05/2005,23/08/2023
DNA,1,1,23/12/2004,23/08/2023
DNK,1,1,17/10/2003,03/04/2023
DOC,1,1,04/12/2020,23/08/2023
DOR,1,1,29/09/2017,07/09/2022
DOU,1,1,06/10/2020,22/08/2023
DOW,1,1,06/01/2000,23/08/2023
DRA,1,1,09/07/2021,17/08/2023
DRE,1,1,01/03/2019,23/08/2023
DRO,1,1,22/06/2016,23/08/2023
DRR,1,1,23/10/2020,23/08/2023
DRX,1,1,22/06/2005,23/08/2023
DSE,1,1,07/01/2000,23/08/2023
DSK,1,1,02/11/2020,23/08/2023
DTC,1,1,16/10/2019,23/08/2023
DTI,1,1,09/12/2014,23/08/2023
DTL,1,1,04/01/2000,23/08/2023
DTM,1,1,10/05/2007,23/08/2023
DTR,1,1,23/06/2011,23/08/2023
DTZ,1,1,13/12/2007,23/08/2023
DUB,1,1,30/06/2000,23/08/2023
DUG,1,1,12/08/2020,23/08/2023
DUI,1,1,04/01/2000,23/08/2023
DUN,1,1,10/11/2021,22/08/2023
DUR,1,1,04/11/2020,23/08/2023
DVL,1,1,11/12/2013,23/08/2023
DVP,1,1,27/04/2007,23/08/2023
DVR,1,1,02/08/2005,18/08/2023
DXB,1,1,29/09/2005,23/08/2023
DXC,1,1,27/07/2017,23/08/2023
DXI,1,1,03/12/2013,23/08/2023
DXN,1,1,11/04/2018,23/08/2023
DXS,1,1,06/10/2004,23/08/2023
DY6,1,1,29/06/2023,23/08/2023
DYL,1,1,04/01/2000,23/08/2023
DYM,1,1,16/01/2023,23/08/2023
E25,1,1,09/11/2006,23/08/2023
E33,1,1,29/07/2021,18/08/2023
E79,1,1,07/10/2021,23/08/2023
EAX,1,1,13/10/2011,07/08/2023
EBG,1,1,04/01/2000,14/08/2023
EBO,1,1,06/12/2013,23/08/2023
