年度,通期
2023/06,https://irbank.net/E31036/081220230810540525/pl
2022/06,https://irbank.net/E31036/081220220811518752/pl
2021/06,https://irbank.net/E31036/081220210813486235/pl
2020/06,https://irbank.net/E31036/081220200909490549/pl
2019/06,https://irbank.net/E31036/081220200313479515/pl
2018/06,https://irbank.net/E31036/081220180812496956/pl
2017/06,https://irbank.net/E31036/081220170813455825/pl
2016/06,https://irbank.net/E31036/081220160811474381/pl
2015/06,https://irbank.net/E31036/081220150813477264/pl
