年度,通期
2024/02,https://irbank.net/E00593/
2023/02,https://irbank.net/E00593/081220230414547195/pl
2022/02,https://irbank.net/E00593/081220220414521678/pl
2021/02,https://irbank.net/E00593/081220210414494101/pl
2020/02,https://irbank.net/E00593/081220200413493460/pl
2018/12,https://irbank.net/E00593/081220190214476881/pl
2017/12,https://irbank.net/E00593/081220180213470970/pl
2016/12,https://irbank.net/E00593/081220170213498568/pl
2015/12,https://irbank.net/E00593/081220160210411911/pl
2014/12,https://irbank.net/E00593/081220150209021786/pl
2013/12,https://irbank.net/E00593/081220140128093544/pl
