年度,通期
2023/12,https://irbank.net/E02020/
2022/12,https://irbank.net/E02020/081220230208503563/pl
2021/12,https://irbank.net/E02020/081220220330514465/pl
2020/12,https://irbank.net/E02020/081220210209459170/pl
2019/12,https://irbank.net/E02020/081220200207460571/pl
2018/12,https://irbank.net/E02020/081220190125463584/pl
2017/12,https://irbank.net/E02020/081220180125455862/pl
2016/12,https://irbank.net/E02020/081220170130485287/pl
2015/12,https://irbank.net/E02020/081220151221474099/pl
2014/12,https://irbank.net/E02020/081220141201088012/pl
2013/12,https://irbank.net/E02020/081220140127092050/pl
